"event_list","count"
"upgr-eff-fbprop-eff-type-eff-fbprop-txt-publ-txt-fbprop-publ-txt-type-fbprop-eff-aud-pvw-fbprop-type-aud",1
"upgr-fbprop-save-fbprop-save-fbprop-publ-fbprop-publ-fbprop-type-fbprop-pvw-fbprop-pvw-fbprop-fbdel-fbprop-publ-fbprop-type",1
"upgr-lms-pvw-fbprop-publ-lms-type-fbprop-type-lms-publ-fbprop-type-lms-pvw-fbprop-grp-pvw-publ-fbprop-pvw",1
"upgr-fbins-state-fbins-fbprop-brpubl-fbprop-brpubl-fbins-fbprop-aa-state-upgr-fbprop-type-state-publ-fbprop-publ-type-fbprop",1
"upgr-type-pvw-save-publ-type-save-pvw-type-publ-type-save-pvw-publ-save-publ-brpubl-type-publ-type-fbprop",1
"upgr-fbins-txt-fbins-media-fbprop-pvw-media-int-media-publ-pvw-type-fbprop-media-type-publ-char-media-fbdel-state",1
"upgr-pvw-ss-fbprop-state-obj-fbprop-state-fbprop-state-ss-fbprop-state-pvw-fbprop-state-upgr-fbprop-obj-state-fbprop",1
"upgr-publ-media-publ-pvw-type-media-publ-type-publ-pvw-type-publ-type-pvw-svg-pvw-publ-media-pvw-type",1
"upgr-fbins-lms-fbins-lms-fbins-lms-fbins-publ-fbins-lms-fbins-lms-fbins-lms-fbdel-lms-fbins-lms-fbdel-lms",1
"upgr-fbprop-fbins-fbdel-publ-fbprop-quiz-fbdel-quiz-fbprop-quiz-fbdel-type-fbprop-fbdel-fbins-fbprop-pvw-fbdel-fbprop-quiz",1
"upgr-fbprop-type-fbprop-aud-fbprop-txt-fbprop-fbins-fbprop-txt-type-fbdel-type-publ-txt-fbprop-type-pvw-type-publ",1
"upgr-brpubl-fbprop-type-fbprop-publ-fbprop-pvw-fbprop-type-publ-pvw-type-brpubl-publ-type-lms-type-publ-lms-brpubl",1
"upgr-pvw-fbprop-publ-arpubl-type-fbprop-type-brpubl-publ-fbprop-publ-brpubl-save-fbprop-publ-arcreat-fbprop-addsl-brpubl-save",1
"upgr-arpubl-publ-lms-publ-lms-arpubl-eff-lms-type-arpubl-lms-pvw-lms-arpubl-lms-fbins-lms-publ-pvw-lms",1
"upgr-fbdel-quiz-fbprop-media-fbdel-quiz-fbprop-fbdel-quiz-fbprop-grp-fbdel-brpubl-fbprop-txt-fbdel-pvw-fbprop-txt-fbdel",1
"upgr-lms-fbprop-publ-txt-lms-fbprop-type-aa-lms-fbprop-lms-state-lms-fbprop-lms-state-lms-fbprop-lms-aa",1
"upgr-lms-save-lms-save-lms-pvw-type-save-lms-save-lms-pvw-lms-publ-lms-type-ss-lms-ss-lms",1
"upgr-brpubl-fbprop-type-pvw-brpubl-fbdel-pvw-fbdel-brpubl-pvw-publ-pvw-brpubl-pvw-type-publ-brpubl-publ-type-fbdel",1
