"event_list","count"
"upgr-pvw-media-fbprop-media-txt-media-ss-lms-addsl-lms-pvw-lms-pvw-lms-pvw-txt-lms-pvw-txt-grp",1
"upgr-dnd-media-txt-addsl-txt-media-pvw-txt-media-quiz-publ-media-grp-addsl-grp-addsl-grp-ss-media-addsl",1
"upgr-fbins-fbdel-fbins-upgr-addsl-fbdel-creat-state-txt-fbdel-media-fbprop-cap-fbdel-media-fbprop-addsl-fbdel-type-fbprop",1
"upgr-open-lms-txt-addsl-ss-lms-pvw-lms-int-li-int-addsl-lms-type-li-pvw-lms-publ-lms-li",1
"upgr-open-txt-addsl-txt-char-addsl-pvw-char-int-type-pvw-int-fbprop-media-publ-type-pvw-publ-aa-pvw",1
"upgr-type-fbprop-pvw-publ-fbins-pvw-type-publ-fbins-type-pvw-fbdel-pvw-int-publ-fbdel-int-type-fbdel-publ",1
"upgr-grp-addsl-upgr-state-ss-publ-pvw-type-grp-fbins-type-pvw-fbprop-fbins-fbprop-grp-publ-type-pvw-ss",1
"upgr-fbdel-fbrem-fbprop-fbdel-fbins-fbprop-fbdel-fbrem-fbprop-fbrem-fbdel-fbrem-fbprop-fbrem-fbdel-fbrem-fbprop-fbdel-fbprop-fbdel",1
"upgr-media-addsl-type-publ-state-grp-state-ss-publ-type-pvw-state-save-type-state-fbdel-ss-type-publ-state",1
"upgr-type-save-publ-type-pvw-publ-save-type-publ-save-type-pvw-fbdel-pvw-save-txt-media-fbprop-save-publ",1
"upgr-fbprop-state-fbprop-type-fbprop-type-fbprop-ss-fbprop-state-fbprop-ss-fbprop-state-fbprop-state-fbprop-media-fbprop-int",1
"upgr-lms-state-lms-pvw-lms-save-lms-pvw-lms-pvw-lms-pvw-lms-save-lms-pvw-lms-aa-lms-pvw",1
"upgr-fbdel-type-fbdel-char-arcreat-aa-char-publ-type-pvw-aa-publ-aa-fbins-fbdel-state-fbins-txt-state-eff",1
"upgr-fbprop-fbins-fbprop-publ-fbprop-fbins-fbprop-fbrem-arcreat-addsl-fbprop-txt-fbprop-upgr-fbprop-txt-fbprop-upgr-fbprop-fbdel",1
"upgr-txt-pvw-type-publ-pvw-type-publ-pvw-type-publ-pvw-type-publ-pvw-type-publ-pvw-type-publ-save",1
"upgr-fbprop-fbins-fbprop-fbdel-fbins-fbdel-fbins-fbprop-fbins-fbprop-fbins-fbprop-ss-fbprop-fbins-fbprop-fbins-fbprop-fbins-fbprop",1
"upgr-fbprop-upgr-fbprop-aud-fbprop-state-fbprop-media-fbprop-state-fbprop-media-fbprop-fbins-fbprop-quiz-fbprop-txt-fbprop-fbins",1
"upgr-fbins-fbprop-media-fbdel-addsl-fbdel-open-fbdel-upgr-fbdel-fbins-fbdel-type-fbdel-type-fbdel-type-fbdel-type-fbdel",1
"upgr-lms-pvw-lms-grp-lms-aud-lms-aud-lms-grp-lms-grp-lms-grp-lms-aud-lms-pvw-lms-txt",1
"upgr-fbprop-open-fbins-fbprop-fbdel-fbins-state-fbprop-grp-fbins-grp-fbprop-grp-fbdel-grp-fbprop-grp-fbdel-grp-fbprop",1
"upgr-fbins-txt-fbprop-publ-fbins-type-fbprop-state-fbins-pvw-fbprop-ss-fbins-ss-fbprop-aa-fbins-state-fbprop-aa",1
"upgr-fbprop-ss-fbprop-upgr-fbprop-fbdel-fbprop-fbins-fbprop-grp-fbdel-grp-fbdel-grp-fbins-grp-arcreat-grp-fbins-fbdel",1
"upgr-fbprop-type-fbins-quiz-fbprop-pvw-fbins-fbprop-save-fbins-save-fbprop-save-fbins-fbprop-save-fbins-save-fbprop-fbins",1
"upgr-fbprop-publ-fbprop-pvw-fbprop-type-fbprop-publ-fbprop-pvw-fbprop-type-fbprop-state-fbprop-pvw-fbprop-publ-fbprop-grp",1
"upgr-type-pvw-save-type-lms-pvw-lms-type-publ-save-type-publ-lms-type-lms-publ-lms-save-lms-publ",1
"upgr-fbdel-fbins-fbdel-grp-fbdel-fbprop-fbdel-fbprop-fbdel-fbrem-fbdel-fbins-fbdel-grp-fbdel-fbprop-fbdel-fbprop-fbdel-fbins",1
"upgr-tts-fbdel-tts-addsl-tts-fbdel-tts-cap-tts-fbdel-tts-cap-tts-fbdel-tts-fbdel-txt-cap-tts-fbdel",1
"upgr-pvw-upgr-type-pvw-type-publ-pvw-type-publ-pvw-type-grp-pvw-fbrem-fbprop-fbrem-fbprop-fbrem-pvw-publ",1
"upgr-pvw-ss-fbdel-type-quiz-publ-fbdel-pvw-fbdel-type-quiz-media-fbdel-media-quiz-media-fbdel-grp-save-fbdel",1
"upgr-ss-fbdel-ss-fbprop-txt-fbdel-media-fbprop-ss-fbdel-txt-fbprop-ss-fbdel-ss-fbprop-quiz-fbdel-quiz-fbprop",1
"upgr-fbprop-publ-fbprop-char-fbdel-publ-fbins-fbprop-pvw-fbprop-char-fbprop-aa-fbprop-type-fbprop-type-fbins-aa-fbins",1
"upgr-pvw-fbdel-pvw-type-fbdel-publ-txt-pvw-fbdel-publ-fbprop-type-fbdel-ss-state-pvw-fbdel-type-media-upgr",1
"upgr-ss-state-quiz-int-publ-type-pvw-type-pvw-publ-type-pvw-type-quiz-pvw-publ-type-publ-pvw-publ",1
"upgr-fbprop-eff-fbdel-grp-publ-fbdel-type-char-pvw-fbdel-pvw-int-publ-fbdel-pvw-txt-type-fbdel-publ-media",1
"upgr-publ-type-eff-fbdel-lms-grp-media-lms-grp-lms-grp-media-aa-media-publ-type-media-pvw-publ-type",1
"upgr-media-type-pvw-media-grp-media-grp-type-pvw-media-type-pvw-media-ss-media-fbrem-publ-media-txt-publ",1
